,θ
1,108.2
2,19.7
3,2.5
4,346.2
5,38.9
6,57.9
7,306.1
8,358.7
9,312.3
10,30.3
11,144.9
12,22.2
13,189.1
14,304.4
15,267.5
16,167.5
17,289.7
18,301.8
19,322.2
20,244.0
21,290.4
22,184.3
23,234.7
24,252.4
25,265.6
26,328.0
27,312.6
28,6.6
29,219.4
30,296.4
31,326.5
32,297.9
33,226.2
34,172.8
35,247.9
36,127.5
37,337.3
38,331.0
39,256.6
40,296.4
41,310.6
42,218.1
43,251.9
44,105.0
45,343.2
46,329.6
47,358.2
48,344.4
49,104.4
50,79.1
51,90.9
52,24.8
53,84.3
54,279.7
55,282.7
56,81.8
57,133.1
58,340.7
59,10.7
60,308.4
61,282.7
62,81.8
63,133.1
64,340.7
65,10.7
66,308.4
