,θ,set
1,11,1
2,3,1
3,-22,1
4,-1,1
5,-7,1
6,27,1
7,-2,1
8,15,1
9,14,1
10,-13,1
11,0,1
12,-46,2
13,10,2
14,-3,2
15,-9,2
16,19,2
17,-5,2
18,49,2
19,24,2
20,14,2
21,14,2
22,4,2
23,-14,2
24,-4,2
25,30,2
26,4,2
27,-172,2
28,24,2
29,-6,2
30,-32,2
31,-128,2
32,-68,2
33,-12,2
34,8,2
35,21,2
36,10,2
37,-11,2
38,-12,2
39,25,2
40,24,2
41,-7,2
42,18,2
43,-3,2
44,22,3
45,32,3
46,-25,3
47,4,3
48,43,3
49,108,3
50,47,3
51,-49,3
52,-67,3
53,-19,3
54,-14,3
55,4,3
56,-2,3
57,140,3
58,82,3
59,6,3
60,-21,3
61,19,3
