,θ
1,8
2,9
3,13
4,13
5,14
6,18
7,22
8,27
9,30
10,34
11,38
12,38
13,40
14,44
15,45
16,47
17,48
18,48
19,48
20,48
21,50
22,53
23,56
24,57
25,58
26,58
27,61
28,63
29,64
30,64
31,64
32,65
33,65
34,68
35,70
36,73
37,78
38,78
39,78
40,83
41,83
42,88
43,88
44,88
45,90
46,92
47,92
48,93
49,95
50,96
51,98
52,100
53,103
54,106
55,113
56,118
57,138
58,153
59,153
60,155
61,204
62,215
63,223
64,226
65,237
66,238
67,243
68,244
69,250
70,251
71,257
72,268
73,285
74,319
75,343
76,350
