,θ
1,176
2,162
3,49
4,174
5,174
6,49
7,54
8,63
9,59
10,61
11,66
12,104
13,97
14,58
15,121
16,5
17,178
18,3
19,168
20,0
21,18
22,39
23,140
24,63
25,55
26,170
27,169
28,37
29,152
30,73
31,53
32,176
33,72
34,170
35,113
36,56
37,87
38,161
39,164
40,21
41,50
42,6
43,59
44,140
45,54
46,64
47,56
48,38
49,61
50,143
51,51
52,144
53,148
54,44
55,60
56,98
57,86
58,145
59,38
60,168
61,39
62,134
63,68
64,57
65,129
66,68
67,132
68,82
69,54
70,119
71,131
72,50
73,93
74,160
75,127
76,124
77,65
78,108
79,52
80,61
81,86
82,37
83,132
84,83
85,163
86,58
87,144
88,29
89,80
90,172
91,144
92,138
93,10
94,45
95,137
96,11
97,145
98,103
99,69
100,124
101,54
102,121
103,1
104,39
105,111
106,153
107,13
108,5
109,5
110,107
111,104
112,39
113,133
114,36
115,63
116,4
117,21
118,51
119,30
120,52
121,90
122,143
123,13
124,50
125,109
126,12
127,170
128,5
129,14
130,91
131,132
132,12
133,1
